date,pred_1,se_1,pred_2,se_2,pred_3,se_3,pred_4,se_4,pred_5,se_5,pred_6,se_6,pred_7,se_7,log_value,beta
1/3/2006,0.202143557,0.728964121,0.191835163,0.669524328,0.21986828,0.687879156,0.19608426,0.651632024,0.235971604,0.699690209,0.186398752,0.672276213,0.197119573,0.660209896,0,0.9140625
1/4/2006,0.306046176,1.321618074,0.222274867,0.803403204,0.270432294,0.886536043,-2.132671525,6.283663855,0.390370501,2.185091355,3.234224033,3.661547517,0.262209501,0.92184194,0,0.78125
1/5/2006,0.282049609,5.203444123,0.324485952,0.933173367,0.337639651,0.941666948,0.318964406,0.937538662,5.495048789,7.258386344,0.285369782,5.518132754,0.284458678,4.919280108,0,0.81640625
1/6/2006,0.134612931,0.646547546,0.160770575,0.634470862,0.324152478,2.636666163,0.091540469,0.599934106,0.124136852,0.623029354,0.091654673,0.581463676,0.105239355,0.575657965,0,0.956787109
1/7/2006,0.315636556,0.820606861,0.257863728,4.073106408,7.2311317,9.275386007,0.282461211,0.924669414,4.488803823,5.855202561,4.355879224,9.918173249,-8.942165581,13.21040011,0,0.8359375
1/8/2006,0.10847958,0.466471222,0.104949719,0.496913314,0.076224019,0.417640237,0.089797056,0.354295698,0.139526392,0.482573227,0.084957605,0.450788819,0.117999803,0.476044794,0,0.701171875
1/9/2006,0.030293547,0.476010452,0.231541529,1.143242087,-1.590178535,4.268806811,-0.853475266,4.00842801,-0.168844523,0.730136353,0.092811957,0.546153718,0.161317162,2.693903075,0,0.81640625
1/10/2006,0.97632563,2.325933099,0.790875881,2.209626464,0.136839583,2.792901996,-1.058457986,1.934616907,1.51335534,3.311143984,-0.317430751,1.123629745,-0.524175482,1.769454775,0,0.94921875
1/11/2006,0.270837723,0.978295132,0.243671613,2.576060047,2.259815138,4.454021151,0.30976691,2.082931776,0.265380085,0.922346927,0.226535697,0.886604861,-4.135662493,5.137168325,0,0.674804688
1/12/2006,0.241986728,0.970465561,6.241499853,9.073559885,0.271797442,1.658974587,0.254448079,0.917762609,0.278557108,0.893108367,0.258032562,1.025254692,0.145041788,7.42923078,0,0.78125
1/13/2006,3.887534533,7.795661577,0.288794443,0.990239982,0.29411854,0.973888977,0.276300251,0.961583584,0.280662215,0.914767964,0.48633523,6.993340226,6.91053576,8.762805476,0,0.802734375
1/14/2006,0.154214182,0.718165363,0.320224363,1.45818625,2.410709813,3.825487737,0.165441466,0.639154237,0.200245918,0.684079856,0.200072878,0.857478866,0.253392119,0.943040114,0,0.617919922
1/15/2006,-4.511411693,4.571125596,3.454234609,3.461492866,0.285298781,0.911578135,0.250035032,0.828706033,-2.619829552,3.350039932,0.265911785,0.863689241,0.202126393,3.732756135,0,0.830078125
1/16/2006,0.312845988,0.914985955,0.269061432,0.828561664,0.310189319,0.900596977,0.274118082,0.851372672,0.278035881,2.114046421,0.171884988,4.5120056,0.291230087,0.910063326,0,0.323730469
1/17/2006,0.180970769,1.021890635,0.153739253,0.824799838,0.199012438,1.008044988,0.173049087,0.930254698,8.244993939,9.238505914,0.289825872,1.842019655,0.17133109,0.935898211,0,0.732421875
1/18/2006,0.210268073,5.287425391,0.219772057,3.581397372,-1.926437987,4.263548505,0.342432204,4.050292748,0.22145873,0.873232048,5.108729654,6.103892296,0.212713454,0.817397825,0,0.859375
1/19/2006,0.178726393,0.671694893,0.172106342,0.616451681,0.200128732,0.673254226,0.168596553,0.644102169,-0.030154429,3.333898729,0.115585402,0.579857477,-0.140365907,6.271808086,0,0.968261719
1/20/2006,0.087343538,0.349585546,0.086547037,0.311931398,0.1316453,0.312899757,0.079760643,0.283642738,0.045532412,0.313143049,0.081493032,0.299442299,0.077814369,0.300011381,0,0.7890625
1/21/2006,0.343091108,0.919025812,0.266038025,0.821769107,0.279493644,0.869671943,0.246657568,0.800274024,0.289975347,0.865645706,0.549282074,4.838461963,0.264182674,0.838739871,0,0.8046875
1/22/2006,-5.065093506,5.121736663,-5.118907125,6.390655472,6.469811552,8.194687465,2.21569682,6.100840011,-1.584829804,8.087015254,6.257139603,5.275358374,9.061613813,8.997027746,0,0.708984375
1/23/2006,0.573388775,7.113569842,0.237755342,0.830173909,0.234727607,0.844763116,0.239756113,0.836991663,0.242744916,0.836618968,-5.108910846,6.112644116,0.255729988,6.414633644,0,0.322753906
1/24/2006,-5.295866375,9.854931508,0.177483416,0.850154541,0.235512606,11.19487738,7.03921001,9.812791498,0.192583689,0.82766108,0.216957119,0.829338412,-0.846783811,12.55595496,0,0.935791016
1/25/2006,0.051303552,0.343172551,0.051243714,0.326785152,0.050903203,0.349278946,0.213905447,0.57923473,0.039017868,0.283818816,0.024757116,0.284295963,0.022852803,0.267908061,0,0.591064453
1/26/2006,0.197465176,0.753763368,-4.242176358,7.098606987,0.211047063,0.755994354,0.23661224,0.726252648,7.77418105,8.85261551,0.223438445,0.698703519,0.226039408,3.208516931,0,0.8828125
1/27/2006,0.357608199,0.842600662,0.244273795,0.853826134,0.289035863,0.880734619,0.246601003,0.74487315,3.872556511,6.049102711,1.017439424,5.186447675,0.230172884,0.773477856,0,0.79296875
1/28/2006,3.497022774,8.178194906,0.201350304,0.784900717,0.229548028,0.826040963,0.224392159,0.802972062,0.213824326,0.769629416,0.261077724,6.126054572,0.209402169,0.788949571,0,0.671875
